participant,direction,control,match_quality,stroking_duration_s,scl_mean,scl_sd,scl_min,scl_max,scl_range,scl_auc,n_samples,duration_s,scr_baseline_mean,scr_peak_value,scr_amplitude,scr_latency_s,scr_peak_time_s,scr_count,scr_auc_zero,scr_auc_baseline,scr_auc_initial
S01,parallel,PID,GOOD,98.7,1.2926,0.0292,1.22,1.37,0.15,127.447,987,98.7,0.0078,0.054,0.0462,2.5,98.5,39,0.0476,-0.7206,1.0513
S01,parallel,FF+PID,GOOD,98.3,1.3955,0.0776,1.25,1.64,0.39,137.0195,983,98.3,-0.0153,0.0572,0.0725,0.0,96.0,65,-0.0612,1.4423,-0.6042
S01,orthogonal,PID,GOOD,28.1,2.3524,0.2202,2.0,2.71,0.71,65.865,281,28.1,0.0006,0.0807,0.08,4.5,26.1,12,0.1135,0.0953,0.4254
S01,orthogonal,FF+PID,GOOD,28.3,3.2764,0.1431,2.95,3.54,0.59,92.399,283,28.3,-0.0265,0.0848,0.1113,0.0,25.7,19,0.5042,1.252,0.2174
S02,orthogonal,FF+PID,GOOD,27.6,11.8474,0.1695,11.55,12.26,0.71,325.82,276,27.6,0.0011,0.3016,0.3006,8.4,9.5,14,0.8792,0.8496,1.1747
S02,orthogonal,PID,GOOD,28.9,12.8324,0.1958,12.4,13.55,1.15,369.595,289,28.9,-0.0093,0.6906,0.6999,2.6,3.6,11,0.6893,0.9575,6.7134
S02,parallel,PID,GOOD,98.4,13.2707,1.559,10.06,15.58,5.52,1304.607,984,98.4,0.0173,0.6351,0.6177,2.0,3.1,19,1.0877,-0.6133,21.5411
S02,parallel,FF+PID,GOOD,98.7,12.774,1.6832,9.84,15.31,5.47,1259.542,987,98.7,-0.0146,0.1159,0.1305,2.1,46.0,51,-0.8557,0.5817,3.7065
S03,parallel,PID,GOOD,98.5,1.1747,0.0387,1.07,1.27,0.2,115.59,985,98.5,-0.0068,0.0411,0.0479,0.1,6.9,68,0.0345,0.7005,-0.0189
S03,parallel,FF+PID,GOOD,98.6,0.962,0.0513,0.85,1.1,0.25,94.758,986,98.6,-0.0083,0.0495,0.0579,0.0,43.7,66,0.0063,0.8285,-0.5406
S03,orthogonal,PID,GOOD,27.9,0.7472,0.028,0.68,0.81,0.13,20.776,279,27.9,0.0096,0.0413,0.0317,18.1,23.7,5,-0.0005,-0.2683,0.4626
S03,orthogonal,FF+PID,GOOD,28.3,0.7588,0.036,0.66,0.83,0.17,21.392,283,28.3,-0.0134,0.0457,0.0591,0.0,1.5,19,0.0636,0.4407,-0.7472
S04,orthogonal,PID,GOOD,28.0,16.7545,1.2142,14.72,18.82,4.1,467.5175,280,28.0,-0.2164,1.1052,1.3216,0.0,7.9,15,1.2233,7.2601,6.9311
S04,orthogonal,FF+PID,GOOD,28.3,13.1293,0.3183,12.6,13.94,1.34,370.283,283,28.3,0.0467,0.7201,0.6734,2.7,3.3,11,2.5638,1.2472,11.1581
S04,parallel,PID,GOOD,99.0,16.9993,1.7651,13.65,22.05,8.4,1680.9015,990,99.0,0.079,1.457,1.378,5.6,98.5,23,-0.8495,-8.6645,29.1691
S04,parallel,FF+PID,GOOD,98.3,17.6518,1.6806,14.6,22.05,7.45,1733.3055,983,98.3,0.2988,1.5688,1.2701,21.4,51.4,6,-0.5084,-29.8461,7.6185
S05,parallel,FF+PID,GOOD,99.6,8.6456,0.2982,8.15,9.13,0.98,860.264,996,99.6,0.0326,0.1292,0.0966,6.1,62.7,14,-0.0694,-3.3121,4.5247
S05,parallel,PID,GOOD,99.1,8.7704,0.4044,8.23,10.18,1.95,868.1795,991,99.1,0.0191,0.2659,0.2468,8.1,83.6,27,-0.0851,-1.9758,-0.1958
S05,orthogonal,PID,GOOD,27.8,10.4827,0.2402,9.89,10.84,0.95,290.3785,278,27.8,0.0051,0.2257,0.2206,1.9,3.4,11,0.2655,0.1237,2.081
S05,orthogonal,FF+PID,GOOD,28.3,10.119,0.0893,9.86,10.3,0.44,285.3635,283,28.3,-0.0022,0.0951,0.0973,0.3,5.9,19,0.0841,0.1459,0.278
S06,orthogonal,PID,GOOD,28.4,21.7451,2.5598,17.94,24.9,6.96,615.4405,284,28.4,0.2363,1.8845,1.6483,0.0,11.9,9,1.6006,-5.0863,-6.1731
S06,orthogonal,FF+PID,GOOD,28.1,20.1072,2.3901,16.82,24.61,7.79,562.939,281,28.1,-0.8781,0.8763,1.7545,0.0,2.5,12,1.1528,25.7401,-44.4034
S06,parallel,PID,GOOD,98.7,22.2134,1.3872,18.99,24.9,5.91,2190.3215,987,98.7,-0.9826,1.5186,2.5012,0.0,72.4,44,1.6261,98.5144,44.0882
S06,parallel,FF+PID,GOOD,98.6,20.0219,2.9753,15.33,24.9,9.57,1972.02,986,98.6,0.1069,1.1816,1.0747,0.1,57.0,23,-5.062,-15.5875,-15.2855
S07,parallel,PID,GOOD,98.3,8.0412,0.6577,7.01,9.64,2.63,789.6435,983,98.3,-0.042,0.3999,0.4419,2.0,3.3,56,1.4325,5.5527,11.8386
S07,parallel,FF+PID,GOOD,99.1,8.7584,0.485,7.69,9.72,2.03,867.0555,991,99.1,0.0015,0.5673,0.5658,2.3,52.0,29,-0.0614,-0.2108,12.0241
S07,orthogonal,PID,GOOD,28.5,10.0501,0.3242,9.52,10.69,1.17,285.4175,285,28.5,-0.0141,0.0978,0.1119,0.0,2.9,15,0.3733,0.7729,-0.8412
S07,orthogonal,FF+PID,GOOD,28.6,9.5136,0.3211,8.94,10.11,1.17,271.132,286,28.6,-0.0263,0.1679,0.1942,0.0,21.1,15,-0.4955,0.253,-1.6247
S08,orthogonal,PID,GOOD,28.4,5.606,0.48,4.86,6.62,1.76,158.59,284,28.4,-0.2101,0.4333,0.6434,0.0,24.5,17,0.2861,6.2315,-0.5068
S08,orthogonal,FF+PID,GOOD,28.9,3.4634,0.3178,2.95,4.05,1.1,99.738,289,28.9,0.0112,0.1206,0.1094,3.2,19.9,14,0.39,0.067,0.6443
S08,parallel,PID,GOOD,98.3,6.8944,0.4113,5.88,7.84,1.96,677.073,983,98.3,-0.0317,0.327,0.3587,0.0,11.6,45,0.6959,3.8076,-10.8482
S08,parallel,FF+PID,GOOD,98.8,6.3698,0.4243,5.54,7.28,1.74,628.7175,988,98.8,0.0024,0.4766,0.4742,5.9,30.2,30,0.8966,0.66,3.4565
S09,parallel,FF+PID,GOOD,98.8,13.6095,1.2749,11.52,16.87,5.35,1343.4325,988,98.8,-0.0225,1.1372,1.1597,3.1,68.7,22,1.5312,3.7521,9.5459
S09,parallel,PID,GOOD,98.7,14.2241,1.8908,12.04,20.61,8.57,1402.6065,987,98.7,-0.0311,2.5513,2.5824,2.5,23.9,27,-1.3297,1.7384,21.7521
S09,orthogonal,PID,GOOD,28.6,11.7246,0.3497,11.23,12.57,1.34,334.1435,286,28.6,-0.1133,0.7938,0.9071,0.8,19.8,8,0.4713,3.6994,4.8703
S09,orthogonal,FF+PID,GOOD,28.4,11.5816,0.2917,11.21,12.48,1.27,327.774,284,28.4,-0.0166,0.9029,0.9195,4.2,16.9,7,0.0569,0.5276,5.6723
S10,orthogonal,FF+PID,GOOD,28.6,8.7459,0.4293,7.91,9.42,1.51,249.2735,286,28.6,0.0211,0.1959,0.1748,3.3,4.3,10,0.5509,-0.0495,3.093
S10,orthogonal,PID,GOOD,28.4,12.8048,0.5427,11.67,13.62,1.95,362.4495,284,28.4,0.0448,0.5444,0.4996,3.5,4.5,8,0.5497,-0.7183,5.4196
S10,parallel,FF+PID,GOOD,97.8,7.8921,1.1751,6.35,10.69,4.34,770.995,978,97.8,-0.0034,0.0554,0.0588,0.1,90.9,42,0.1123,0.4435,0.4231
S10,parallel,PID,GOOD,98.2,15.2299,1.288,12.38,18.16,5.78,1494.221,982,98.2,0.0098,1.7173,1.7076,9.2,50.3,16,0.0658,-0.893,1.2717
S11,parallel,PID,GOOD,98.9,8.6054,0.9692,7.32,10.64,3.32,850.1735,989,98.9,0.0285,0.2643,0.2358,5.4,7.2,8,-0.1249,-2.9388,3.8493
S11,parallel,FF+PID,GOOD,98.8,10.7205,0.9624,8.86,12.4,3.54,1058.2235,988,98.8,-0.1773,0.4978,0.6751,0.0,22.4,58,0.7775,18.2819,-11.9676
S11,orthogonal,PID,GOOD,28.4,9.2792,0.6201,8.47,10.45,1.98,262.577,284,28.4,-0.0509,0.2007,0.2516,2.7,21.3,14,0.1342,1.5749,3.2083
S11,orthogonal,FF+PID,GOOD,28.6,8.4119,0.1312,8.18,8.72,0.54,239.75,286,28.6,0.0702,0.1364,0.0662,4.1,5.2,3,-0.0622,-2.0621,2.4645
S12,orthogonal,FF+PID,GOOD,28.3,11.3672,1.7645,7.93,13.23,5.3,320.6305,283,28.3,0.1614,0.9185,0.7571,2.8,11.1,5,0.1457,-4.4069,5.5596
S12,orthogonal,PID,GOOD,28.6,13.7758,2.7152,9.35,17.26,7.91,392.7795,286,28.6,0.0665,1.063,0.9965,2.8,14.7,5,-0.6793,-2.5739,2.6428
S12,parallel,FF+PID,GOOD,99.1,16.0072,2.039,13.48,21.8,8.32,1584.7955,991,99.1,-0.1084,1.1221,1.2306,5.0,9.2,30,-0.5392,10.1956,32.2643
S12,parallel,PID,GOOD,99.2,13.863,2.0809,11.11,18.65,7.54,1373.8455,992,99.2,0.0008,1.1754,1.1746,1.6,89.3,20,1.1776,1.0982,10.3364
S13,parallel,FF+PID,GOOD,99.3,6.6053,0.3998,5.71,7.81,2.1,655.2485,993,99.3,0.0618,0.6953,0.6335,3.1,86.8,16,0.3076,-5.8261,15.0795
S13,parallel,PID,GOOD,99.0,7.3364,0.6353,6.01,8.96,2.95,725.603,990,99.0,-0.141,0.7947,0.9357,0.0,3.3,45,1.3994,15.3419,-22.9733
S13,orthogonal,PID,GOOD,28.3,8.2524,1.0542,7.4,10.94,3.54,232.6435,283,28.3,-0.0055,0.9101,0.9156,1.8,26.8,6,0.7945,0.9489,1.6089
S13,orthogonal,FF+PID,GOOD,28.7,7.4934,0.2587,7.1,8.18,1.08,214.328,287,28.7,-0.1157,0.4442,0.5599,0.0,12.9,15,-0.3722,2.9362,1.0142
S14,orthogonal,PID,GOOD,28.3,14.8441,0.3807,14.28,15.58,1.3,418.596,283,28.3,0.0239,0.0559,0.032,0.1,7.4,4,0.094,-0.5796,-0.6619
S14,orthogonal,FF+PID,GOOD,28.7,9.7134,0.2498,9.3,10.25,0.95,277.7975,287,28.7,-0.0006,0.0308,0.0314,1.0,23.5,12,-0.0386,-0.022,0.2303
S14,parallel,FF+PID,GOOD,100.4,7.0583,0.2409,6.71,7.52,0.81,707.9445,1004,100.4,0.0003,0.0567,0.0565,0.9,44.8,41,0.0264,-0.0009,0.5944
S14,parallel,PID,GOOD,100.2,6.4089,0.1918,6.05,6.69,0.64,641.5295,1002,100.2,-0.0039,0.0385,0.0424,0.9,96.2,53,0.023,0.416,-0.1623
S15,parallel,PID,GOOD,99.0,8.518,0.8144,7.37,10.72,3.35,842.3745,990,99.0,-0.0719,0.5794,0.6513,0.0,61.8,59,1.9229,9.0383,7.8352
S15,parallel,FF+PID,GOOD,99.4,9.4512,1.6165,6.59,13.18,6.59,938.507,994,99.4,-0.2335,1.1451,1.3786,0.0,15.1,61,2.8458,26.0298,-87.7428
S15,orthogonal,PID,GOOD,28.5,9.6024,0.5942,8.72,10.84,2.12,272.691,285,28.5,-0.1481,0.4729,0.6211,0.0,26.2,21,3.0203,7.2271,2.5447
S15,orthogonal,FF+PID,GOOD,28.4,9.4472,0.6864,8.4,10.74,2.34,267.343,284,28.4,-0.0029,0.5342,0.5371,0.8,26.6,14,3.1726,3.2547,3.7998
S16,orthogonal,FF+PID,GOOD,28.7,8.9186,1.1014,7.2,10.99,3.79,254.92,287,28.7,-0.4078,0.9026,1.3103,0.0,2.9,21,1.176,12.8383,-15.0885
S16,orthogonal,PID,GOOD,29.0,10.7791,1.7527,7.76,13.57,5.81,311.5285,290,29.0,0.1644,0.7159,0.5515,2.1,2.6,7,-0.228,-4.9787,8.8261
S16,parallel,PID,GOOD,98.8,11.0472,2.8753,6.27,18.07,11.8,1090.276,988,98.8,1.0479,0.8229,-0.225,0,82.7,0,-2.3457,-105.7779,119.2527
S16,parallel,FF+PID,GOOD,98.9,9.7787,1.6373,6.93,12.72,5.79,966.279,989,98.9,0.0639,1.126,1.0622,0.0,17.9,30,-0.0644,-6.373,-15.8164
S17,parallel,FF+PID,GOOD,99.2,6.1499,1.1796,4.27,8.94,4.67,609.2995,992,99.2,-0.68,1.4129,2.0929,0.0,11.7,69,-1.6164,65.7685,-63.2503
S17,parallel,PID,GOOD,98.5,8.4029,0.8954,6.4,10.4,4.0,826.9065,985,98.5,0.5747,0.6768,0.1021,31.7,32.2,1,-0.0363,-56.589,27.2079
S17,orthogonal,FF+PID,GOOD,28.4,8.7122,0.354,8.01,9.72,1.71,246.523,284,28.4,0.0879,0.6127,0.5248,3.6,4.7,6,0.1091,-2.379,4.6005
S17,orthogonal,PID,GOOD,28.8,7.2194,0.548,6.3,8.4,2.1,207.1805,288,28.8,0.2365,0.1702,-0.0663,0,26.7,0,-0.3312,-7.1182,1.8653
S19,parallel,FF+PID,GOOD,100.1,10.7011,0.9059,8.35,13.04,4.69,1070.222,1001,100.1,0.0696,1.3895,1.3199,2.8,34.1,34,1.9286,-5.0335,12.2278
S19,parallel,PID,GOOD,99.2,9.9014,1.006,7.52,11.79,4.27,981.1845,992,99.2,0.0644,1.3473,1.2829,1.4,3.4,34,5.3912,-0.987,43.1307
S19,orthogonal,PID,GOOD,29.1,8.823,0.8168,7.15,9.99,2.84,255.915,291,29.1,-0.0369,0.4526,0.4895,0.1,25.5,21,2.962,4.0331,4.0776
S19,orthogonal,FF+PID,GOOD,28.3,8.5213,1.0929,6.98,10.4,3.42,240.2775,283,28.3,-0.1075,0.6209,0.7283,0.8,3.9,18,2.6101,5.6402,12.2452
S20,orthogonal,FF+PID,ESTIMATED (avg offset 5 samples from 3 sessions),28.2,3.5883,1.5026,1.07,5.69,4.62,100.782,282,28.2,-0.1432,0.5796,0.7227,0.1,10.6,17,0.7112,4.7345,4.7012
S20,orthogonal,PID,GOOD,28.3,4.7627,1.3821,1.95,6.84,4.89,134.4715,283,28.3,0.019,0.5098,0.4908,3.8,11.2,16,1.6713,1.1345,13.0099
S20,parallel,PID,GOOD,98.7,5.4557,1.3165,3.61,7.86,4.25,537.909,987,98.7,-0.0081,0.0813,0.0894,0.2,92.1,67,0.2455,1.0423,7.804
S20,parallel,FF+PID,GOOD,99.2,5.8526,1.2196,4.08,7.98,3.9,579.977,992,99.2,-0.0005,0.1866,0.1871,1.0,97.4,62,1.1842,1.2355,1.4114
